3, 5, 9, 20, 34, 47
13, 18, 20, 22, 36, 44
24, 31, 37, 40, 48, 52
4, 13, 23, 25, 28, 45
5, 8, 23, 31, 40, 52
10, 14, 18, 25, 40, 45
1, 6, 9, 26, 43, 45
5, 9, 25, 44, 47, 48
2, 3, 7, 22, 36, 43
12, 30, 34, 41, 42, 52
1, 16, 22, 28, 43, 49
18, 22, 24, 48, 51, 53
19, 20, 24, 32, 51, 52
1, 11, 16, 21, 45, 47
11, 12, 17, 39, 51, 52
6, 9, 12, 17, 19, 41
9, 37, 42, 44, 45, 50
11, 15, 24, 32, 36, 39
4, 12, 20, 29, 32, 53
1, 9, 16, 25, 31, 32
10, 14, 15, 23, 41, 48
6, 8, 35, 38, 49, 52
11, 20, 24, 27, 48, 50
8, 27, 34, 36, 38, 50
1, 9, 38, 45, 51, 52
14, 29, 39, 40, 51, 53
13, 23, 32, 36, 44, 45
17, 21, 25, 31, 40, 44
2, 8, 9, 15, 43, 50
3, 10, 11, 20, 25, 48
10, 19, 23, 46, 47, 50
2, 12, 14, 24, 48, 50
1, 2, 8, 13, 19, 50
1, 8, 20, 23, 36, 53
11, 21, 29, 41, 48, 51
9, 12, 13, 19, 21, 31
11, 15, 33, 38, 42, 51
4, 8, 33, 39, 41, 53
10, 29, 40, 41, 47, 51
16, 32, 35, 39, 40, 43
2, 7, 14, 16, 28, 30
3, 20, 33, 37, 42, 49
9, 17, 19, 20, 26, 47
21, 23, 34, 35, 38, 39
4, 13, 29, 32, 46, 53
7, 9, 25, 31, 36, 49
7, 8, 12, 17, 23, 44
8, 24, 35, 36, 45, 52
23, 27, 31, 35, 47, 49
2, 8, 9, 11, 39, 53
3, 11, 23, 29, 52, 53
15, 26, 36, 43, 44, 53
5, 13, 26, 29, 34, 45
18, 21, 29, 31, 37, 40
7, 17, 34, 40, 41, 52
2, 10, 18, 29, 31, 49
5, 6, 11, 17, 24, 33
7, 18, 22, 30, 41, 49
13, 19, 28, 31, 39, 50
2, 6, 13, 16, 32, 47
3, 5, 6, 7, 8, 10
8, 11, 30, 39, 42, 53
16, 22, 33, 40, 44, 52
7, 9, 35, 38, 45, 47
22, 30, 33, 37, 44, 53
1, 3, 5, 9, 25, 26
1, 25, 27, 35, 52, 53
4, 6, 36, 39, 42, 44
7, 9, 11, 37, 41, 48
2, 6, 21, 40, 51, 52
2, 22, 27, 40, 42, 51
5, 17, 26, 47, 52, 53
4, 5, 10, 38, 39, 46
26, 33, 37, 38, 39, 41
2, 24, 26, 36, 39, 48
17, 22, 26, 33, 39, 47
6, 27, 38, 48, 49, 52
16, 28, 31, 32, 34, 47
1, 7, 20, 33, 42, 48
9, 15, 17, 25, 45, 46
2, 13, 27, 30, 39, 42
2, 9, 30, 38, 41, 51
4, 6, 14, 19, 33, 41
9, 24, 32, 39, 51, 52
3, 13, 32, 33, 38, 50
15, 33, 40, 41, 43, 53
8, 12, 16, 20, 46, 50
5, 12, 30, 31, 48, 49
27, 37, 39, 40, 44, 47
6, 9, 17, 33, 35, 36
1, 9, 23, 28, 39, 50
13, 18, 22, 40, 45, 50
21, 30, 38, 43, 48, 49
5, 11, 16, 22, 26, 48
9, 21, 23, 26, 29, 37
2, 9, 17, 33, 34, 35
2, 26, 38, 40, 43, 50
1, 5, 17, 23, 40, 46
2, 17, 39, 42, 44, 46
9, 13, 28, 38, 48, 49
5, 7, 10, 26, 36, 48
5, 9, 11, 20, 22, 43
9, 38, 42, 45, 48, 51
12, 23, 26, 27, 46, 49
6, 18, 25, 32, 46, 50
8, 25, 31, 37, 50, 53
2, 8, 20, 31, 39, 51
2, 8, 29, 31, 36, 43
3, 4, 6, 17, 30, 53
16, 23, 27, 32, 48, 50
10, 14, 15, 27, 35, 45
1, 13, 39, 40, 44, 48
5, 27, 35, 38, 48, 49
17, 26, 35, 45, 52, 53
2, 8, 27, 40, 43, 47
4, 9, 15, 26, 36, 45
6, 13, 19, 46, 50, 53
4, 7, 13, 22, 32, 50
7, 19, 27, 40, 44, 46
7, 12, 15, 28, 38, 53
1, 25, 34, 42, 44, 48
9, 16, 29, 33, 43, 45
6, 7, 15, 25, 27, 42
8, 16, 22, 25, 35, 45
13, 23, 32, 34, 46, 47
16, 17, 30, 31, 40, 44
4, 13, 23, 39, 44, 46
3, 7, 11, 19, 25, 30
19, 21, 23, 29, 43, 46
3, 6, 29, 31, 44, 46
9, 37, 41, 43, 45, 51
10, 15, 25, 38, 40, 42
29, 33, 34, 38, 44, 51
1, 22, 49, 50, 51, 53
16, 18, 25, 30, 49, 50
9, 20, 24, 25, 33, 34
16, 21, 28, 33, 37, 43
19, 24, 25, 28, 36, 41
9, 15, 19, 20, 24, 47
22, 31, 35, 36, 46, 48
